
11, 0
56, 5760
102, 936
103, 936
137, 0
145, 0
150, 0
284, 0
259, 0
290, 0
315, 33
352, 0
353, 12
379, 12
389, 0
390, 12
396, 12
397, 90
407, 90
412, 0
412, 486
434, 486
445, 0
480, 567
496, 0
502, 33
5007, 0
508, 0
525, 120
577, 0
578, 0
584, 0
585, 0
595, 0
610, 0
611, 0
612, 0
624, 0
634, 0
635, 0
636, 0
641, 0
642, 0
643, 0
651, 0
662, 0
663, 0
664, 0
665, 0
671, 0
672, 0
673, 0
729, 0
766, 0
767, 0
773, 0
774, 0
806, 0
839, 0
847, 0
852, 0
853, 0
854, 0
859, 0
864, 0
865, 0
866, 0
892, 0
908, 0
918, 0
919, 0
920, 0
925, 0
926, 0
927, 0
951, 0
966, 0
967, 0
968, 0
973, 0
974, 0
975, 0
984, 0
999, 0
1000, 0
1001, 0
1007, 0
1008, 0
1009, 0
1014, 0
1015, 0
1016, 0
1046, 0
1097, 0
1098, 0
1099, 0
1092, 0
1023, 0
1153, 0
1154, 0
1155, 0
1160, 0
1170, 0
1171, 0
1172, 0
1177, 0
1178, 0
1179, 0
1195, 0
1236, 0
1237, 0
1238, 0
1243, 0
1253, 0
1254, 0
1255, 0
1268, 0
1278, 0
1279, 0
1280, 0
1291, 0
1301, 0
1302, 0
1303, 0
1308, 0
1309, 0
1310, 0
1322, 0
1376, 0
1378, 3672
1379, 3672
1392, 0
1404, 0
1405, 3672
1406, 3672
1407, 3672
1418, 0
1429, 0
1430, 4056
1431, 4056
1436, 0
1446, 0
1447, 252
1448, 252
1453, 0
1454, 3876
1459, 0
1460, 22848
1461, 22848
1481, 0
1588, 0
1589, 4
1673, 0
1681, 0
1864, 0
1869, 0
1874, 0
1879, 0
1884, 0
1889, 0
1894, 0
1899, 0
2020, 0
2021, 4
2028, 0
2035, 0
2042, 0
2054, 0
2066, 0
2072, 0
2078, 0
2084, 0
2090, 0
2100, 0
2108, 0
2118, 0
2119, 33
2120, 33
2142, 0
2170, 0
2180, 0
2181, 12
2182, 12
2192, 0
2193, 99
2194, 99
2217, 0
2240, 0
2241, 4
2259, 0
2260, 4
2333, 0
2334, 48
2335, 48
2340, 0
2341, 612
2346, 0
2347, 6336
2348, 6336
2375, 0
2456, 0
2457, 204
2462, 0
2463, 2304
2464, 2304
2480, 0
2485, 0
2486, 23232
2487, 23232
2500, 0
2900, 0
2901, 33
2902, 33
2918, 0
2919, 8
2922, 0
2923, 5
2937, 0
2947, 5
2975, 0
2976, 3
2961, 0
2962, 3
2986, 0
2987, 15
2988, 15
3000, 0
3009, 12
3010, 144
3011, 144
3016, 0
3017, 2244
3018, 2244
3037, 0
3056, 0
3065, 12
3066, 132
3067, 132
3072, 0
3073, 2040
3095, 0
3123, 0
3124, 204
3130, 0
3131, 2112
3132, 2112
3320, 0
3224, 0
